x,y
436,256
436,267
435,279
433,290
430,301
427,312
423,322
419,333
414,343
408,352
402,362
395,371
387,379
379,387
371,395
362,402
352,408
343,414
333,419
322,423
312,427
301,430
290,433
279,435
267,436
256,436
245,436
233,435
222,433
211,430
200,427
190,423
179,419
169,414
160,408
150,402
141,395
133,387
125,379
117,371
110,362
104,352
98,343
93,333
89,322
85,312
82,301
79,290
77,279
76,267
76,256
76,245
77,233
79,222
82,211
85,200
89,190
93,179
98,169
104,160
110,150
117,141
125,133
133,125
141,117
150,110
160,104
169,98
179,93
190,89
200,85
211,82
222,79
233,77
245,76
256,76
267,76
279,77
290,79
301,82
312,85
322,89
333,93
343,98
352,104
362,110
371,117
379,125
387,133
395,141
402,150
408,160
414,169
419,179
423,190
427,200
430,211
433,222
435,233
436,245
436,256
