x,y
4360,2560
4360,2670
4350,2790
4330,2900
4300,3010
4270,3120
4230,3220
4190,3330
4140,3430
4080,3520
4020,3620
3950,3710
3870,3790
3790,3870
3710,3950
3620,4020
3520,4080
3430,4140
3330,4190
3220,4230
3120,4270
3010,4300
2900,4330
2790,4350
2670,4360
2560,4360
2450,4360
2330,4350
2220,4330
2110,4300
2000,4270
1900,4230
1790,4190
1690,4140
1600,4080
1500,4020
1410,3950
1330,3870
1250,3790
1170,3710
1100,3620
1040,3520
980,3430
930,3330
890,3220
850,3120
820,3010
790,2900
770,2790
760,2670
760,2560
760,2450
770,2330
790,2220
820,2110
850,2000
890,1900
930,1790
980,1690
1040,1600
1100,1500
1170,1410
1250,1330
1330,1250
1410,1170
1500,1100
1600,1040
1690,980
1790,930
1900,890
2000,850
2110,820
2220,790
2330,770
2450,760
2560,760
2670,760
2790,770
2900,790
3010,820
3120,850
3220,890
3330,930
3430,980
3520,1040
3620,1100
3710,1170
3790,1250
3870,1330
3950,1410
4020,1500
4080,1600
4140,1690
4190,1790
4230,1900
4270,2000
4300,2110
4330,2220
4350,2330
4360,2450
4360,2560
