x,y
5.00,7.40
4.92,7.38
4.83,7.35
4.72,7.30
4.60,7.24
4.46,7.18
4.31,7.10
4.15,7.01
3.99,6.91
3.81,6.80
3.64,6.68
3.47,6.56
3.30,6.43
3.14,6.31
2.98,6.18
2.84,6.05
2.71,5.91
2.59,5.78
2.48,5.64
2.39,5.50
2.32,5.36
2.26,5.22
2.22,5.08
2.21,4.93
2.21,4.78
2.24,4.64
2.28,4.49
2.34,4.34
2.42,4.19
2.52,4.03
2.64,3.88
2.76,3.73
2.90,3.58
3.05,3.42
3.21,3.27
3.38,3.12
3.56,2.97
3.74,2.83
3.92,2.69
4.11,2.56
4.30,2.44
4.50,2.33
4.69,2.23
4.89,2.15
5.08,2.09
5.27,2.05
5.46,2.03
5.64,2.03
5.81,2.05
5.98,2.10
6.14,2.18
6.29,2.27
6.42,2.39
6.55,2.52
6.67,2.67
6.77,2.84
6.86,3.01
6.94,3.20
7.00,3.39
7.06,3.58
7.11,3.77
7.15,3.96
7.18,4.14
7.21,4.32
7.23,4.49
7.25,4.64
7.28,4.79
7.31,4.92
7.35,5.04
7.41,5.16
7.47,5.26
7.54,5.36
7.63,5.46
7.71,5.55
7.80,5.65
7.88,5.75
7.96,5.85
8.03,5.95
8.08,6.06
8.12,6.18
8.14,6.30
8.13,6.43
8.10,6.56
8.05,6.70
7.96,6.84
7.86,6.97
7.72,7.10
7.57,7.21
7.40,7.31
7.21,7.39
7.01,7.44
6.81,7.47
6.59,7.48
6.38,7.47
6.17,7.43
5.95,7.38
5.75,7.32
5.55,7.26
5.35,7.21
5.17,7.18
5.00,7.17
4.84,7.18
4.70,7.21
4.56,7.27
4.44,7.33
4.33,7.40
4.22,7.48
4.12,7.56
4.02,7.63
3.91,7.69
3.81,7.74
3.69,7.78
3.57,7.79
3.44,7.78
3.30,7.74
3.15,7.68
2.99,7.60
2.84,7.48
2.68,7.34
2.53,7.17
2.39,6.99
2.26,6.78
2.15,6.56
2.06,6.33
2.00,6.09
1.96,5.85
1.94,5.61
1.96,5.37
2.00,5.15
2.08,4.94
2.18,4.74
2.31,4.56
2.45,4.40
2.61,4.25
2.78,4.12
2.95,4.01
3.13,3.90
3.30,3.81
3.47,3.72
3.63,3.64
3.78,3.56
3.91,3.47
4.03,3.38
4.13,3.28
4.22,3.17
4.29,3.05
4.35,2.92
4.40,2.78
4.44,2.64
4.48,2.49
4.52,2.34
4.57,2.20
4.63,2.06
4.71,1.93
4.81,1.82
4.92,1.72
5.05,1.64
5.19,1.58
5.35,1.56
5.51,1.56
5.69,1.59
5.86,1.66
6.04,1.75
6.21,1.87
6.37,2.03
6.52,2.21
6.66,2.41
6.78,2.64
6.88,2.88
6.96,3.13
7.03,3.39
7.07,3.66
7.10,3.92
7.11,4.18
7.11,4.43
7.11,4.67
7.10,4.90
7.10,5.12
7.11,5.32
7.13,5.52
7.17,5.71
7.22,5.90
7.30,6.07
7.39,6.25
7.49,6.42
7.60,6.58
7.72,6.74
7.85,6.89
7.97,7.03
8.10,7.15
8.21,7.25
8.32,7.34
8.41,7.40
8.48,7.44
8.52,7.46
8.54,7.45
8.54,7.42
8.50,7.37
8.44,7.29
8.35,7.19
8.24,7.08
8.11,6.96
7.96,6.82
7.80,6.67
7.63,6.53
7.45,6.38
7.27,6.24
7.09,6.10
6.91,5.97
6.74,5.85
6.57,5.74
6.41,5.64
6.26,5.55
6.12,5.47
6.00,5.40
5.88,5.34
5.77,5.30
5.66,5.26
5.56,5.23
5.47,5.20
5.37,5.18
5.28,5.15
5.19,5.12
5.10,5.08
5.00,5.04
4.91,5.00
4.81,4.94
4.72,4.89
4.62,4.82
4.53,4.75
4.44,4.67
4.35,4.58
4.26,4.48
4.18,4.38
4.09,4.28
4.01,4.17
3.94,4.06
3.87,3.94
3.81,3.83
3.76,3.71
3.71,3.60
3.67,3.49
3.64,3.38
3.62,3.28
3.62,3.19
3.62,3.10
3.64,3.03
3.67,2.96
3.70,2.90
3.76,2.86
3.82,2.82
3.89,2.80
3.98,2.78
4.07,2.78
4.17,2.79
4.28,2.81
4.39,2.85
4.51,2.89
4.63,2.95
4.75,3.02
4.86,3.10
4.98,3.18
5.08,3.28
5.18,3.38
5.28,3.48
5.36,3.59
5.43,3.70
5.50,3.81
5.56,3.92
5.60,4.02
5.63,4.13
5.65,4.23
5.66,4.33
5.66,4.42
5.65,4.51
5.64,4.60
5.62,4.68
5.59,4.76
5.56,4.83
5.52,4.90
5.48,4.96
5.44,5.02
5.40,5.07
5.35,5.12
5.31,5.16
5.27,5.19
5.23,5.22
5.19,5.25
5.15,5.26
5.12,5.26
5.09,5.26
5.06,5.24
5.04,5.21
5.02,5.17
5.00,5.12
